Intent/Action Name,User goal,type,if_success,
- utter_greet,greet,action,,
- utter_ask_usecase,sales,action,,
- utter_ask_businessmail,sales,action,,
- utter_ask_jobfunction,sales,action,,
- utter_ask_email,subscribe,action,,
- utter_ask_budget,sales,action,,
- utter_ask_company,sales,action,,
- utter_ask_goal,chitchat,action,,
- utter_inform_privacypolicy,greet,action,,
- utter_moreinformation,sales,action,,
- utter_confirm_salesrequest,sales,action,success,
- utter_docu,subscribe,action,,
- utter_confirmationemail,subscribe,action,success,
- utter_sales_contact,sales,action,,
- utter_already_subscribed,subscribe,action,success,
- utter_contact_email,handoff,action,,
- utter_no_speak,privacypolicy,action,,
- utter_out_of_scope,oos,action,,
- utter_possibilities,chitchat,action,,
- utter_ask_name,sales,action,,
- utter_change_mind,privacypolicy,action,,doesn't exist
- utter_must_accept,privacypolicy,action,,doesn't exist
- utter_noworries,chitchat,action,,
- utter_bye,chitchat,action,,
- utter_awesome,chitchat,action,,
- utter_great,chitchat,action,,
- utter_thank_usecase,sales,action,,
- utter_canthelp,chitchat,action,,
- utter_nohelp,chitchat,action,,
- utter_thumbsup,chitchat,action,,
- utter_cantsignup,subscribe,action,,
- utter_ask_feedback,feedback,action,,
- utter_quickstart,getstarted_1,action,success,
- utter_quickstart_nlu_only,getstarted_1,action,success,
- utter_ask_migration,getstarted_1,action,,
- utter_switch_dialogflow,getstarted_1,action,success,
- utter_switch_luis,getstarted_1,action,success,
- utter_cant_answer_tech_question,rasa_help,action,,
- utter_have_you_used_rasa_before,rasa_help/ getstarted_1,action,,
- utter_are_you_new_to_chatbots,getstarted_1,action,,
- utter_encourage_building_bot,,action,,doesn't exist
- utter_anything_else,chitchat,action,,
- utter_chatbot_tutorial,rasa_help,action,success,
- utter_no_guide_for_switch,getstarted_1,action,,
- utter_ask_which_product,rasa_help,action,,
- utter_ask_for_nlu_specifics,rasa_help,action,,
- utter_core_tutorial,rasa_help,action,,
- utter_dont_know_nlu_part,rasa_help,action,,
- utter_nlu_intent_tutorial,rasa_help,action,,
- utter_nlu_entity_tutorial,rasa_help,action,,
- utter_offer_recommendation,rasa_help,action,,
- utter_what_language,rasa_help,action,,
- utter_ask_entities,rasa_help,action,,
- utter_search_bar,rasa_help,action,,
- utter_spacy_or_tensorflow,rasa_help,action,success,
- utter_tensorflow,rasa_help,action,success,
- utter_spacy,rasa_help,action,success,
- utter_duckling,rasa_help,action,success,
- utter_crf,rasa_help,action,success,
- utter_nlu_tools,rasa_help,action,success,
- utter_duckling_info,rasa_help,action,success,
- utter_rasa_cost,faq,action,,
- utter_source_code,faq,action,,
- utter_what_help,chitchat,action,,
- utter_first_bot_with_rasa,onboarding,action,,
- utter_getstarted,onboarding,action,,
- utter_explain_stack,getstarted_1,action,,
- utter_stack_details,getstarted_1,action,,
- utter_explain_nlucore,getstarted_1,action,,
- utter_explain_nlu,getstarted_1,action,,
